47,86.29,4,44.21,"LINESTRING(104.099512 30.687846,104.099650 30.687816,104.099779 30.687843,104.099862 30.687890,104.099968 30.688020,104.099994 30.688123,104.100034 30.688310)"
48,79.9,4,119.51,"LINESTRING(104.085545 30.655976,104.086272 30.655622)"
49,190.95,4,152.59,"LINESTRING(104.101624 30.685674,104.101852 30.685434,104.102129 30.684912,104.102541 30.684157)"
50,190.95,4,332.59,"LINESTRING(104.102541 30.684157,104.102129 30.684912,104.101852 30.685434,104.101624 30.685674)"
51,177.42,4,154.43,"LINESTRING(104.102541 30.684157,104.102852 30.683597,104.103198 30.682944,104.103337 30.682716)"
52,177.42,4,334.43,"LINESTRING(104.103337 30.682716,104.103198 30.682944,104.102852 30.683597,104.102541 30.684157)"
53,73.4,4,338.35,"LINESTRING(104.100309 30.687716,104.100178 30.687859,104.100079 30.688003,104.100054 30.688074,104.100034 30.688310)"
54,32.61,4,3.86,"LINESTRING(104.100034 30.688310,104.100058 30.688602)"
55,85.6,4,337.35,"LINESTRING(104.101624 30.685674,104.101529 30.685902,104.101277 30.686383)"
56,16.74,4,319.3,"LINESTRING(104.101277 30.686383,104.101163 30.686497)"
57,213.65,4,333.45,"LINESTRING(104.101163 30.686497,104.100277 30.688032,104.100166 30.688217)"
58,89.02,4,302.82,"LINESTRING(104.100166 30.688217,104.100127 30.688275,104.100067 30.688364,104.099955 30.688478,104.099842 30.688541,104.099725 30.688585,104.099593 30.688619,104.099434 30.688624)"
59,245.91,4,35.17,"LINESTRING(104.096348 30.683990,104.097833 30.685796)"
60,222.72,4,292.0,"LINESTRING(104.099434 30.688624,104.099176 30.688637,104.098908 30.688650,104.098725 30.688671,104.098537 30.688752,104.097318 30.689357)"
61,23.69,4,317.64,"LINESTRING(104.101624 30.685674,104.101459 30.685833)"
62,174.23,4,154.48,"LINESTRING(104.100681 30.686563,104.101191 30.685704,104.101461 30.685148)"
63,323.25,4,155.29,"LINESTRING(104.101461 30.685148,104.101534 30.684934,104.102876 30.682511)"
64,49.6,1,242.77,"LINESTRING(104.103337 30.682716,104.102876 30.682511)"
65,49.6,1,62.77,"LINESTRING(104.102876 30.682511,104.103337 30.682716)"
66,21.19,1,242.78,"LINESTRING(104.102876 30.682511,104.102680 30.682423)"
67,21.19,1,62.78,"LINESTRING(104.102680 30.682423,104.102876 30.682511)"
68,124.43,1,242.36,"LINESTRING(104.102680 30.682423,104.101528 30.681903)"
69,124.43,1,62.36,"LINESTRING(104.101528 30.681903,104.102680 30.682423)"
70,6.38,4,35.63,"LINESTRING(104.097833 30.685796,104.097871 30.685842)"
71,157.76,1,238.74,"LINESTRING(104.101528 30.681903,104.100428 30.681453,104.100235 30.681259,104.100136 30.681180)"
72,157.76,1,58.74,"LINESTRING(104.100136 30.681180,104.100235 30.681259,104.100428 30.681453,104.101528 30.681903)"
73,122.46,1,190.67,"LINESTRING(104.100136 30.681180,104.099935 30.680357,104.099896 30.680099)"
74,122.46,1,10.67,"LINESTRING(104.099896 30.680099,104.099935 30.680357,104.100136 30.681180)"
75,13.29,4,231.72,"LINESTRING(104.100054 30.688829,104.099945 30.688756)"
76,171.74,4,120.11,"LINESTRING(104.096227 30.689547,104.097782 30.688774)"
77,23.38,4,302.43,"LINESTRING(104.097318 30.689357,104.097112 30.689471)"
